,CompanyName,CIN_Number,gst
60,CRANE INFRASTRUCTURE LIMITED   ,L45209AP2008PLC059135,37AAECC0149B1Z7
61,TITAN INTECH LIMITED   ,L72200AP1984PLC004380,37AABCP2287L1Z1
62,SATYAM COMPUTER SERVICES LTD   ,L72200AP1987PLC007564,27AACCS8639Q1ZG
63,AVANTEL LIMITED   ,L72200AP1990PLC011334,36AABCA7382H1ZL
64,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED   ,L72200AP1999PLC030997,29AAACU3358G1Z7
65,PALRED TECHNOLOGIES LIMITED   ,L72200AP1999PLC033131,36AAACF4464A1Z2
66,ARUNA MOTORS PRIVATE LIMITED   ,U50100AP2009PTC062728,37AAFCA4326D1Z1
67,ANJANI FOODS LIMITED   ,L65910AP1983PLC004005,37AACCR4447B1ZL
68,RAGHAVA ESTATES & PROPERTIES LIMITED   ,L70102AP1988PLC009300,37AABCR0476M1Z2
69,SRIKALAHASTHI PIPES LIMITED   ,L74999AP1991PLC013391,37AAACL4108M1ZG
70,BALAJI INDUSTRIAL CORPORATION LIMITED   ,L74999AP1984PLC015354,36AAACB9055F1ZR
71,VIRAT CRANE INDUSTRIES LIMITED   ,L74999AP1992PLC014392,37AAACV7372B3ZB
72,GVK POWER & INFRASTRUCTURE LIMITED - GVK Power & Infrastructure,L74999AP2005PLC059013,37AAACJ5599A1ZI
73,ACE URBAN DEVELOPERS PRIVATE LIMITED   ,U45209AP2015PTC096147,37AANCA4001H1ZX
74,VIZAG SEAPORT PRIVATE LIMITED   ,U45203AP2001PTC038955,37AABCV2484K1ZY
75,BSCPL INFRASTRUCTURE LIMITED   ,U45203AP1998PLC029154,33AAACB8316K1ZS
76,RAMASETHU INFRASTRUCTURE PRIVATE LIMITED   ,U45203AP2001PTC037154,36AADCA8799C1ZE
77,KRISHNAPATNAM PORT COMPANY LIMITED - Krishnapatnam Port,U45203AP1996PLC023529,36AAACK8657J1Z3
78,NAVAYUGA ENGINEERING COMPANY LIMITED   ,U45203AP1986PLC006925,36AAACN7396R1ZI
79,EDELWEISS RURAL & CORPORATE SERVICES LIMITED - Edelweiss Commodities Services,U45201AP2006PLC078157,19AAKCS7311R2ZJ
80,BSR INFRATECH INDIA LIMITED   ,U45209AP2008PLC059914,29AADCB5352J2ZH
81,KMC INFRATECH LIMITED   ,U45200AP2008PLC057928,36AAFCK6415R1ZY
82,PVR PROJECTS LIMITED   ,U45200AP2005PLC046841,36AADCP6281C1ZI
83,KPC PROJECTS LIMITED - Kpc Projects,U45200AP2005PLC046183,36AACCK7073N1Z1
84,JUNAGADH POWER PROJECTS PRIVATE LIMITED   ,U40105AP2008PTC061203,24AACCJ0978K1ZD
85,RAMKY ENERGY AND ENVIRONMENT LIMITED   ,U40105AP2006PLC049237,33AADCR3002K1ZS
86,VS LIGNITE POWER PRIVATE LIMITED   ,U40104AP2001PTC045088,08AACCM7306G1ZL
87,SOLAR SEMICONDUCTOR PRIVATE LIMITED   ,U40106AP2006PTC049854,36AAKCS0670B1ZL
88,S L S POWER CORPORATION LIMITED   ,U40109AP2005PLC047008,08AANCS5985N1Z8
89,EASTERN POWER DISTRIBUTION COMPANY OF ANDHRA PRADESH LIMITED - APEPDCL,U40109AP2000SGC034117,37AAACE9876B1ZH
90,VISHAL INFRASTRUCTURE LIMITED   ,U45200AP1990PLC011448,20AABCM3918R1ZB
91,KUSALAVA BATTERIES PRIVATE LIMITED   ,U31908AP2010PTC069888,37AAECK0726C1ZY
92,CHANDRA ELECTRICALS PRIVATE LIMITED   ,U31908AP2009PTC066311,03AAACC9574E1ZT
93,SAISUDHIR ENERGY LIMITED   ,U40108AP2010PLC067900,36ABTFS7985C1ZE
94,GREENWAY BUILDING MATERIALS INDIA PRIVATE LIMITED - Nucon Blocks,U36990AP2011PTC075323,37AAECG4942N1Z5
95,SIVA SANKAR MOTORS PRIVATE LIMITED   ,U34100AP2008PTC057883,37AALCS9220Q1ZJ
96,AMARA RAJA ELECTRONICS LIMITED - Amara Raja Electronics,U31402AP1999PLC032257,36AAECA2774J1ZJ
97,GVK ENERGY LIMITED - Gvk Energy,U40102AP2008PLC058683,37AADCG2348H1ZN
98,SEMBCORP GAYATRI POWER LIMITED   ,U40102AP2008PLC059628,37AACCN8774F1Z3
99,UNIVERSAL BIOFUELS PRIVATE LIMITED   ,U01110AP2006PTC050467,36AAACU8305M1Z2
100,MACRO MEDIA DIGITAL IMAGING PRIVATE LIMITED - Macro Media Digital Imaging,U01119AP1999PTC032909,06AABCM9451F1ZI
101,VIJAYNAGAR BIO-TECH PRIVATE LIMITED   ,U01119AP2004PTC043338,37AABCV8628H1ZZ
102,ESSEN ELECTRONIC SYSTEMS PRIVATE LIMITED   ,U29309AP2003PTC040404,37AABCE1826E1Z0
103,KALLAM AGRO PRODUCTS AND OILS PRIVATE LIMITED - Kallam Agro Products,U01119AP1983PTC003913,37AAACK9364N1ZV
104,TULASI SEEDS PRIVATE LIMITED   ,U01112AP1994PTC017615,37AAACT8054C1ZG
105,NOCEE ELEVATORS LIMITED   ,U29150AP2010PLC067061,37AADCN2702Q1Z7
106,VRV ASIA PACIFIC PRIVATE LIMITED   ,U29200AP2007PTC103910,36AACCV7045F1ZB
107,VMC SYSTEMS LIMITED   ,U29199AP1997PLC026477,36AABCV4225A1ZU
108,UMSL LIMITED   ,U27106AP1990PLC018706,22AAACU2227J1ZO
109,KAKINADA SEAPORTS LIMITED - Kakinada Seaports,U24239AP1998PLC098093,37AABCC2006Q1ZN
110,VELAGAPUDI STEELS LIMITED   ,U27109AP1995PLC019753,37AABCV2173P2ZT
111,ARJAS STEEL PRIVATE LIMITED - ARJAS STEEL,U27109AP1993PTC015499,19AAECA8661J1Z9
112,VINAYAK STEELS LTD   ,U27109AP1985PLC005654,27AACCV4694C1Z7
113,BINJUSARIA SOLVENTS PRIVATE LIMITED   ,U27109AP1982PTC003553,37AABCB9617L2ZA
114,HIRA ELECTRO SMELTERS LIMITED   ,U27109AP2007PLC052498,37AADCR5279C1ZA
115,ADITYA STEEL ROLLING MILLS PVT LTD - Aditya Steel Rolling Mills,U25199AP1994PTC018251,37AABCA4911A1ZC
116,BHAVYA CEMENTS LIMITED - Bhavya,U26941AP2007PLC053611,33AADCB1182A1ZG
117,LG POLYMERS INDIA PRIVATE LIMITED - LG Polymers India,U25203AP1996PTC025917,09AAACL8528P1ZT
118,ACTIS GENERICS PRIVATE LIMITED   ,U24230AP2012PTC080702,37AAKCA5168N1Z1
119,STYRAX PHARMA PRIVATE LIMITED   ,U24230AP1995PTC098146,37AABCV0101D1Z3
120,ARTIST GOLD PAINTS PRIVATE LIMITED   ,U24233AP2011PTC072395,37AAJCA1375J1ZH
121,LAILA PHARMACEUTICALS PRIVATE LIMITED - LAILA PHARMACEUTICALS,U24233AP2007PTC056587,37AABCL5086B1ZN
122,VENKATESWARA AYURVEDA NILAYAM LIMITED   ,U24233AP1985PLC005513,37AAACV7506P1ZS
123,JPR LABS PRIVATE LIMITED   ,U24232AP2010PTC069282,37AAICA6799D1Z9
124,EISAI PHARMACEUTICALS INDIA PRIVATE LIMITED - EISAI,U24232AP2007PTC053247,27AABCE8168P1ZX
125,HEALTHWARE PRIVATE LIMITED - HEALTHWARE,U24232AP1996PTC025938,29AABCH2124A1Z9
126,KEKULE PHARMA LIMITED   ,U24231AP1984PLC005145,36AABCK3469K1Z8
127,B&B SPECIALITIES INDIA PRIVATE LIMITED   ,U24232AP2012PTC084393,37AAFCB2681L1ZD
128,SAPALA ORGANICS PRIVATE LIMITED   ,U24110AP2005PTC047056,36AAJCS1655F1ZB
129,RANAR AGROCHEM LIMITED   ,U24110AP1999PLC031491,36AACCP0372M1ZA
130,SOLAR CHEMICALS PVT LTD   ,U24110AP1986PTC006164,09AADCS2373Q1ZQ
131,COROMANDEL PAINTS PRIVATE LIMITED   ,U24229AP1975PTC001902,37AAACC7024R1ZA
132,VENKATESHWARA HATCHERIES PVT LTD - Venkateshwara Hatcheries,U01222AP1971PTC001422,36AAACV7247H2Z4
133,KWALITY FEEDS LTD   ,U01222AP1993PLC015611,23AABCK0589J1ZI
134,VENKATRAMA POULTRIES PRIVATE LIMITED - Venkatrama Poultries,U01222AP1995PTC019290,32AAACV7767L1ZV
135,PHALANX LABS PRIVATE LIMITED - PHALANX LABS,U24100AP2011PTC073113,37AAFCP9117K1Z0
136,VEDA BIOFUEL LIMITED   ,U24100AP2010PLC070652,37AADCV7432P1ZO
137,CHOWDARY SPINNERS LIMITED - CHOWDARY SPINNERS,U17111AP1994PLC017181,37AAACC7031J1ZR
138,V R V TEXTILES LIMITED   ,U17110AP2005PLC045224,27AAICR3017K1Z9
139,DECCAN TOBACCO EXPORTS PRIVATE LIMITED - Deccan Tobacco Exports,U16001AP2005PTC048458,37AACCD3623M1ZK
140,MOHAMMED ENTERPRISES PRIVATE LIMITED - MOHAMMED ENTERPRISES,U16001AP2000PTC034246,37AACCM5832B1ZR
141,BALARAMA KRISHNA SPINNING MILLS PRIVATE LIMITED - Balarama Krishna Spinning Mills,U17116AP2004PTC043228,37AACCB4401F1Z7
142,AMARAVATHI TEXTILES PVT LTD - Amaravathi Textiles,U18100AP1983PTC004085,33AAACK2659N2ZA
